,ResponseId,Informed consent,Age,Gender,Continent of residence,Understanding of sustainability,Concerned about wasting resources,Socially responsible person,Prefer sustainability to conveniency,Willingness to make the world a better place,Clothing shopping frequencies,Factors that influence my shopping decisions,Needs and desires,Understanding of ethical fashion,Own sustainable clothing,Well informed on sustainable clothing,Impact of sustainble clothing on the world,Ability to afford sustainable clothing,Intention to buy sustainable clothing within the next 12 months
1409,R_3FQBtfokDLEgQaY,Yes,Under 22,Female,North America,"something that is of a good quailty, is resourceful, durable and useful.",TRUE,Mostly true,TRUE,Very important,I avoid it at all costs!,"do i absolutely need it? do i love it enough to actually wear it? does it come from a quality, ethical source? ","affordable and easily obtainable, good quality ethical clothing. and not ""trendy"" and typical styles.",from a trusted source. not cheap unless on sale.,Yes,Agree,TRUE,Neutral,1
1410,R_1hYKoslmc3MxmXC,Yes,39-52,Female,North America,"Using products that are renewable
",TRUE,Mostly true,Mostly true,Very important,Monthly,Meets my needs,More natural materials with info on how it's made like the coffee fair trade principles certification,"Made in a way that is not wastefil, enviormentally sound amd using reneeable resources",Yes,Disagree,TRUE,Agree,1
1411,R_3KGZNMEmy4kJ7rI,Yes,22-39,Male,Europe,"Friendly for the environment, long lasting fashion (no trends) and fair wages for the workers in the factory's.",TRUE,Mostly true,Mostly true,Important,Monthly,"Look,Do i Really need this,is it made in western country.","Great looking, sustainable clothing.","Environmental, Ethically right",Yes,Strongly disagree,Mostly true,Strongly disagree,1
1412,R_3GewddEv42L7vX5,Yes,22-39,Male,Asia,"The ability to manufacture products that could conceivably continue forever, all things being the same.",TRUE,Mostly true,Mostly true,Important,Every 3 months,How it looks.,Their companies entire supply chain and overview.,"Achieving the cycle of out and in to produce only enough that can continue to be produced for the foreseeable future, while not creating waste.",Yes,Disagree,Mostly true,Neutral,1
1413,R_2axh2iYWWARRvJR,Yes,39-52,Female,North America,"Things that don't harm the Earth by staying around for a billion years as we run out of space to put it.  Things that go back to the Earth, decompose, naturally break down.",Mostly true,Neutral,Neutral,Important,Every 3 months,How it looks,Cotton and silk; I can't wear polyester bc it does breath.  Then I get too sweaty and itchy.  It makes my eczema worse.,Made from natural fibers,Yes,Disagree,TRUE,Neutral,1
1414,R_2ZOoL2Z4eEApYAH,Yes,22-39,Female,North America,"A practice that can be sustained over the long term, without detrimental effects to human health and the envionment.",Mostly true,Mostly true,TRUE,Neutral,Monthly,"Fabric, fit, production practices",I think I find everything I look for- nothing I particularly am wishing for.,"Ethical practices related to human rights, no harm to the environment",Yes,Neutral,TRUE,Disagree,1
1415,R_RwCwuIttWLh6Teh,Yes,Under 22,Female,North America,Sustainability is the act of producing clothes ethically in ways that help reduce the carbon footprint clothing has on the environment.,TRUE,Mostly true,Mostly true,Important,Monthly,the fit and quality of materials ,Better clothes that fit and are more sustainable ,clothing that is made ethically for example a shirt made with organic cotton,Maybe/Not sure,Agree,Mostly true,Disagree,1
1416,R_2xQTRloV9kt7Bkb,Yes,Under 22,Other,Australia,Sustainability is where something can last for a supposedly infinite amount of time - it can be replenished and will not run out. ,Mostly true,Neutral,Mostly true,Important,Every 3 months,Will this suit me and what other clothes do I have that will go with it?,"Some clothes that were cheap, looked good AND were ethically produced.",Clothing that is made with little impact on the earth and is made ethically with fair trade.,Maybe/Not sure,Agree,TRUE,Neutral,1
1417,R_28TWDBJBUWucPSH,Yes,Under 22,Female,Asia,"environmentalism + ethically

able to be continued",TRUE,Neutral,TRUE,Very important,Every 3 months,"which brand or line to buy from based on whether their values, color palette and material choice align with mine",,long-lasting + high quality + environmentally-friendly material + ethical production,Yes,Neutral,TRUE,Disagree,1
1418,R_vuZcpXMVbdNMcsF,Yes,22-39,Female,Europe,Ethical respect for human work and environmental sustainability,TRUE,TRUE,TRUE,Very important,Every 3 months,Where it is made,"I wish I could find mostly Clothes made by industries that can guarantee the standard rights and decent salaries to their employees. Secondly, I wish I could find more refined clothes, in order to wear them for a long time.  ","Produced along with ethical values, without taking advantage of the desperate conditions of the poorest people",Yes,Strongly disagree,TRUE,Agree,1
1419,R_11i71qLKtU2H3i9,Yes,22-39,Female,North America,harm reduction to environment ,Mostly true,TRUE,TRUE,Very important,Weekly,,,,Yes,Disagree,TRUE,Neutral,1
1420,R_3rH8OY57NPDmn9p,Yes,Under 22,Female,Europe,A company that has ethical and environmental considerations when making products and performing to a high standard in these two categories.,Mostly true,Neutral,Mostly not true,Very important,Every 6 months,The style,Sustainable and yet not designer clothes,Clothing made in an ethical and environmentally friendly way ,Yes,Neutral,TRUE,Neutral,1
1421,R_eSfOdeniNCUmZRT,Yes,22-39,Female,North America,"considering the lifecycle of a product - the beginning (the resources it took to create it), the middle (how carefully I use it), and the end (how I repair it if possible or choose to discard when necessary). ",Mostly true,Mostly true,Neutral,Very important,Monthly,do I love it - will I continue to love it?,,"clothing that has respected the resources (environmental, human, or otherwise) it took to create it.  Clothing of high quality that will last. ",Yes,Agree,TRUE,Neutral,1
1422,R_2ByvvPfEQNW5L8X,Yes,Under 22,Female,North America,"Systems designed for the perseverance and resilience of environmental, social, and economic institutions",TRUE,TRUE,TRUE,Very important,Every 6 months,Who made the clothing and under what conditions they were working,"More sustainable, fair trade options","Clothing that is fair trade and made with environmentally friendly materials, and whose production and shipping is environmentally friendly",Yes,Strongly disagree,Mostly true,Agree,1
1423,R_1fkkPyFtZjNVEE5,Yes,22-39,Female,North America,Products/buildings/etc that have or a positive(or minimally negative) impact on the environment and the community in which they are produced and used.,TRUE,Mostly true,Mostly true,Very important,Weekly,"Where was this made is first, second is how does it fit and feel, third is how much does it cost.","I'm a plus size lady. I love the move towards ethical and sustainable clothing. I have the hardest time though finding a company that fulfills all my standards and carries sizes above a US12. My choices are limited in that way. I've found two local producers, but even they are limited in what they carry in larger sizes.",Clothing that strives to make the world better in all ways.,Yes,Disagree,TRUE,Disagree,1
1424,R_PFlI9zh0TJemmf7,Yes,Under 22,Female,North America,Sustainability is avoiding products that cause harm to Earth and being able to help the environment,Mostly true,Neutral,Neutral,Very important,Every 3 months,is the brand ethical,more ethical brands,"sustainable clothing is clothing that is created with little to no harm to the environment. moreover, it is durable.",Maybe/Not sure,Strongly agree,TRUE,Strongly agree,1
1425,R_2rTuRQAISAByv4v,Yes,Under 22,Female,Europe,Using and reusing products that will not run out if we use too much. Also in this modern era is not bad for the environment with mass amounts of waste from disposal.,TRUE,TRUE,TRUE,Very important,Monthly,"It is ethically made meaning it is fair trade , good for the environment and the materials are either biodegradable or made from recycled waste.",A huge range of easily accessible ethical clothing that suits my style. ,Clothing made to last and work with the environment not destroy it. ,Yes,Agree,TRUE,Disagree,1
1426,R_2aFfZtSaw1UEP20,Yes,22-39,Female,North America,"practices that take actions to not deplete resources (ie, human, environmental, etc.)",TRUE,Mostly true,Mostly true,Very important,Every 3 months,"Value - which I define as quality for a price that works within my budget. I want items that will last to reduce my need to replace items, and I'm willing to spend a bit more for that.","High quality basics that are also professional. Many of the ethical basics I find are very, very casual.","It's hard to find the perfect option, so some combination of ethical treatment of the people who make the clothing, and strides for environmental quality in supplies and manufacturing.",Yes,Neutral,TRUE,Neutral,1
1427,R_Ubfaboyk7GWsnbb,Yes,22-39,Female,North America,A practice that allows responsible use of resources and creates a stable environment for those using those resources. ,TRUE,Neutral,Mostly true,Important,Monthly,Do I need this? ,Better made clothing ,Quality pieces made in an ethical way,Maybe/Not sure,Strongly disagree,TRUE,Neutral,1
1428,R_116C7NHVhk3anaB,Yes,22-39,Female,North America,Eco conscious manufacturing of goods. ,TRUE,TRUE,TRUE,Very important,Every 6 months,Where is this made? What impact am I having on the world by buying this? Will the quality last and be worn often as a staple piece. ,"Non ""hippie"" styles by sustainable companies. I mostly buy second hand so I can't buy get the style I like. It's very hard to find out if a brand is manufacturing their goods in a sustainable way. ",Good and fair impact on people and the earth. ,Yes,Strongly disagree,TRUE,Disagree,1
1429,R_3LYBe6Za3chAWJU,Yes,22-39,Female,North America,Practices that environmentally or socially impact our society in a way that proliferates the continued equality of resources for the people and animals who inhabit the earth. ,Mostly true,Mostly not true,Neutral,Important,Monthly,"How can I access this? I find it difficult to buy sustainably online, I wish there were more retailers who I could try on clothes with.",Locally made clothing that I could access by bus so I could try things on before I purchase them.,"Clothes made ethically (conditions for the people making the clothing), and the types of fibres/dyes that are used.",Yes,Neutral,Mostly true,Neutral,1
1430,R_3rIfDahlMgRbEfW,Yes,22-39,Female,North America,Maintain quality over time.,TRUE,Mostly true,Mostly true,Very important,Every 3 months,Is the purchase actually necessary.,A store front (physical shop location) selling ethical brands.,"A brand holding themselves to a high standard in materials, manufacturing, labour practices.",Yes,Disagree,TRUE,Neutral,1
1431,R_3qL46aS3wX7oTl9,Yes,22-39,Male,North America,Using less. Replacing used resources. ,Mostly true,Mostly true,Mostly true,Important,Weekly,Style,"Well sourced, trendy, good quality, and decent price. ",Ethically sourced,Yes,Strongly disagree,Mostly true,Neutral,1
1432,R_2AEhklWjjZgkwaW,Yes,Under 22,Female,North America,"Clothing where everyone that takes part in producing it is paid a fair amount, and where the materials are sourced with the environment in mind",TRUE,Mostly true,TRUE,Very important,Monthly,How it looks and affordability,Affordable sustainable clothes,,Yes,Neutral,TRUE,Agree,1
